Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Denmark,DNK,Population density (people per sq. km of land area),EN.POP.DNST,127.726419985859,128.146877209522,128.716427056328,129.474923403252,130.169573415037,130.749069054914,131.288522271977,133.164372469636,133.720695403668,134.400452488688,135.353250773994,136.41366992141,137.294117647059
Djibouti,DJI,Population density (people per sq. km of land area),EN.POP.DNST,33.7900776531493,34.277955133736,34.747670405522,35.2182053494392,35.712812769629,36.2466781708369,36.8280414150129,37.4519413287317,38.105823986195,38.7703192407248,39.4302415875755,40.0824849007765,40.7289473684211
Dominica,DMA,Population density (people per sq. km of land area),EN.POP.DNST,94.1186666666667,94.2906666666667,94.3933333333333,94.436,94.468,94.504,94.5546666666667,94.62,94.688,94.78,94.9106666666667,95.076,95.2773333333333
Dominican Republic,DOM,Population density (people per sq. km of land area),EN.POP.DNST,188.310018629683,190.823556199545,193.311136410681,195.778824259988,198.23508590354,200.685593044918,203.129993790106,205.566363071828,207.994700890085,210.415607534672,212.827157938315,215.22962119644,217.618112192093
Ecuador,ECU,Population density (people per sq. km of land area),EN.POP.DNST,55.6685738444194,56.6088903205025,57.5638468352392,58.5268924142374,59.4879368658399,60.4409607022065,61.3781728136576,62.3051296505073,63.2447817684007,64.2286922209696,65.27629247866,66.400044290546,67.5848002899018
"Egypt, Arab Rep.",EGY,Population density (people per sq. km of land area),EN.POP.DNST,75.8687719122005,77.2250369179768,78.5897091767542,80.000079361093,81.5056487015923,83.139519815159,84.9156160530413,86.8172585262946,88.8087196745191,90.8379667487066,92.8650831282335,94.8787704053443,96.8834125269978
El Salvador,SLV,Population density (people per sq. km of land area),EN.POP.DNST,292.090878378378,293.407287644788,294.68194980695,295.934555984556,297.185617760618,298.449565637066,299.737837837838,301.05805984556,302.416505791506,303.818918918919,305.266602316602,306.763658301158,308.307046332046
Equatorial Guinea,GNQ,Population density (people per sq. km of land area),EN.POP.DNST,26.7213903743316,27.9677718360071,29.2936541889483,30.6894830659537,32.1425668449198,33.6413190730838,35.1819251336898,36.7626024955437,38.3747950089127,40.0098395721925,41.6601782531194,43.321889483066,44.9911229946524
Eritrea,ERI,Population density (people per sq. km of land area),EN.POP.DNST,27.9867227722772,28.8931188118812,29.6686732673267,30.3245445544554,30.890297029703,31.3904455445545,31.8215049504951,..,..,..,..,..,..
Estonia,EST,Population density (people per sq. km of land area),EN.POP.DNST,31.9597782495872,31.7718801604152,31.6272705826846,31.5425807973579,31.4818353385232,31.4101203113942,31.3149091766926,31.2030195800896,30.3196917414309,30.2402806533241,30.26011042098,30.2689210950081,30.3055900621118
